Original,Character,Dialogue,Wordcount
Garnet:Why did I do that...?,Garnet,Why did I do that...?,5
"Penelo:Are you alright, Garnet?",Penelo,"Are you alright, Garnet?",4
Penelo:You look down... Did something happen?,Penelo,You look down... Did something happen?,6
Garnet:Did you hear thatZidane agreed to be Ultimecia's transient knight?,Garnet,Did you hear that Zidane agreed to be Ultimecia's transient knight?,10
"Penelo:Yeah, I did.",Penelo,"Yeah, I did.",3
"Penelo:I was surprised when I heard. Becoming a knight is something special, isn't it?",Penelo,"I was surprised when I heard. Becoming a knight is something special, isn't it?",14
Penelo:I can imagine how upset you must have been since you and Zidane are so close...,Penelo,I can imagine how upset you must have been since you and Zidane are so close...,16
"Garnet:No, that's not it.",Garnet,"No, that's not it.",4
"Garnet:Zidane was just being kind, and yet I got jealous... I regret getting so upset.",Garnet,"Zidane was just being kind, and yet I got jealous... I regret getting so upset.",15
"Garnet:I know I shouldn't blame my hardships on anyone or anything else, but...",Garnet,"I know I shouldn't blame my hardships on anyone or anything else, but...",13
Rydia:I don't think you need to be so hard on yourself.,Rydia,I don't think you need to be so hard on yourself.,11
Garnet:Oh! Did you overhear us?,Garnet,Oh! Did you overhear us?,5
Rydia:Sorry. But we were worried about you...,Rydia,Sorry. But we were worried about you...,7
Fran:There's no need to fret if your heart remains unchanged.,Fran,There's no need to fret if your heart remains unchanged.,10
Garnet:I believe in Zidane. But I can't sort out how I feel...,Garnet,I believe in Zidane. But I can't sort out how I feel...,12
Fran:Then why not get some distance?,Fran,Then why not get some distance?,6
Fran:You two are too close. You cannot see the forest for the trees.,Fran,You two are too close. You cannot see the forest for the trees.,13
Garnet:The forest...?,Garnet,The forest...?,2
Rydia:I think it's a great idea!,Rydia,I think it's a great idea!,6
"Rydia:Take some time for yourself. I doubt your feelings will change at this point, after all!",Rydia,"Take some time for yourself. I doubt your feelings will change at this point, after all!",16
"Garnet:But still, I...",Garnet,"But still, I...",3
Gabranth:How long have you been here?,Gabranth,How long have you been here?,6
Rydia:Fran and I just arrived. But Garnet and Penelo were here already.,Rydia,Fran and I just arrived. But Garnet and Penelo were here already.,12
Garnet:Did something happen?,Garnet,Did something happen?,3
Gabranth:Have you seen Gau?,Gabranth,Have you seen Gau?,4
"Fran:We have not, and our departure nears.",Fran,"We have not, and our departure nears.",7
"Gabranth:The boy was with me earlier, but I lost sight of him.",Gabranth,"The boy was with me earlier, but I lost sight of him.",12
Garnet:I'll help you find him!,Garnet,I'll help you find him!,5
Gabranth:Where did Gau run off to?,Gabranth,Where did Gau run off to?,6
"Garnet:He couldn't have gone far. If we split up, we should be able to find him.",Garnet,"He couldn't have gone far. If we split up, we should be able to find him.",16
Gabranth:Thank you for your help.,Gabranth,Thank you for your help.,5
Penelo:I'm worried about him...,Penelo,I'm worried about him...,4
"Penelo:He may be free-spirited, but he wouldn't go off without a reason.",Penelo,"He may be free-spirited, but he wouldn't go off without a reason.",12
Garnet:I hope he hasn't been captured by Kefka or the others...,Garnet,I hope he hasn't been captured by Kefka or the others...,11
Gabranth:That is certainly a possibility... We must proceed with caution.,Gabranth,That is certainly a possibility... We must proceed with caution.,10
Penelo:I don't see him anywhere...,Penelo,I don't see him anywhere...,5
Gabranth:We should expand our search. I will cover that area.,Gabranth,We should expand our search. I will cover that area.,10
"Penelo:Garnet and I will go that way, then.",Penelo,"Garnet and I will go that way, then.",8
Garnet:(It's natural for friends to worry about each other... So why couldn't I just be happy to see Zidane that time?),Garnet,(It's natural for friends to worry about each other... So why couldn't I just be happy to see Zidane that time?),21
Garnet:(No... I can't let my mind wander. We have to find Gau!),Garnet,(No... I can't let my mind wander. We have to find Gau!),12
"Garnet:Gau! Where are you, Gau!?",Garnet,"Gau! Where are you, Gau!?",5
"Mog:It's almost time to go, kupo!",Mog,"It's almost time to go, kupo!",6
Lenna:There he is!,Lenna,There he is!,3
"Garnet:Oh, thank goodness. Let's go back. Everyone is worried about you.",Garnet,"Oh, thank goodness. Let's go back. Everyone is worried about you.",11
Gau:Gau stay.,Gau,Gau stay.,2
Gau:Gau gather herbs! Herbs smell good!,Gau,Gau gather herbs! Herbs smell good!,6
"Penelo:Why are you looking for herbs, Gau?",Penelo,"Why are you looking for herbs, Gau?",7
Lenna:Could it be...,Lenna,Could it be...,3
Garnet:What should we do?,Garnet,What should we do?,4
"Mog:I'll call Sabin and Cyan, kupo!",Mog,"I'll call Sabin and Cyan, kupo!",6
Penelo:Can we help you find those herbs?,Penelo,Can we help you find those herbs?,7
Lenna:Yes! We can help you find plenty.,Lenna,Yes! We can help you find plenty.,7
Gau:Gau! You help me?,Gau,Gau! You help me?,4
Garnet:Are you two sure about this?,Garnet,Are you two sure about this?,6
"Penelo:Come on, Garnet! A little fresh air will be good for you.",Penelo,"Come on, Garnet! A little fresh air will be good for you.",12
Lenna:Indeed. And the weather is perfect for a stroll.,Lenna,Indeed. And the weather is perfect for a stroll.,9
"Mog:What are you going to do, kupo? Do you want me to call Zidane?",Mog,"What are you going to do, kupo? Do you want me to call Zidane?",14
Garnet:(I can't help thinking about Fran and Rydia's words...),Garnet,(I can't help thinking about Fran and Rydia's words...),9
Garnet:(Perhaps I should get some distance and take some time for myself...),Garnet,(Perhaps I should get some distance and take some time for myself...),12
Garnet:(It may be just what I need.),Garnet,(It may be just what I need.),7
"Garnet:I'm going, too!",Garnet,"I'm going, too!",3
Penelo:That's the spirit!,Penelo,That's the spirit!,3
"Mog:You too, kupo!? Should I go with you?",Mog,"You too, kupo!? Should I go with you?",8
Garnet:Please go back to the airship and let everyone know we're okay. And please keep this a secret from Zidane.,Garnet,Please go back to the airship and let everyone know we're okay. And please keep this a secret from Zidane.,20
"Mog:I don't really get it, but...okay, kupo!",Mog,"I don't really get it, but...okay, kupo!",7
"Garnet:Let's go, Gau. We'll help you find those herbs together!",Garnet,"Let's go, Gau. We'll help you find those herbs together!",10
"Gau:This way, Gau!",Gau,"This way, Gau!",3
Lenna:I wonder where he'll lead us... Hehe. I can't wait to see.,Lenna,I wonder where he'll lead us... Hehe. I can't wait to see.,12
Penelo:Yeah! Let's go!,Penelo,Yeah! Let's go!,3
"Gau:Gau, Gau! Thank you, Garnet!",Gau,"Gau, Gau! Thank you, Garnet!",5
"Garnet:It's alright, Gau. But please be more careful next time.",Garnet,"It's alright, Gau. But please be more careful next time.",10
Penelo:She's right. Everyone's worried about you.,Penelo,She's right. Everyone's worried about you.,6
Penelo:I was surprised to see Gabranth so worried about Gau.,Penelo,I was surprised to see Gabranth so worried about Gau.,10
Garnet:Oh really?,Garnet,Oh really?,2
"Penelo:Back home, he was...",Penelo,"Back home, he was...",4
"Penelo:Let's just say he didn't strike me as the ""caring"" type.",Penelo,"Let's just say he didn't strike me as the ""caring"" type.",11
Penelo:I just can't imagine him worrying over anyone that much.,Penelo,I just can't imagine him worrying over anyone that much.,10
Lenna:Perhaps this world has something to do with that.,Lenna,Perhaps this world has something to do with that.,9
Garnet:What do you mean?,Garnet,What do you mean?,4
"Lenna:Back home, people have to worry about their status and their goals. They can't show all of themselves.",Lenna,"Back home, people have to worry about their status and their goals. They can't show all of themselves.",18
Lenna:But those things have changed here.,Lenna,But those things have changed here.,6
Lenna:The Gabranth you know and the one that cares about Gau are two sides of the same coin.,Lenna,The Gabranth you know and the one that cares about Gau are two sides of the same coin.,18
Garnet:(Two sides of the same coin...),Garnet,(Two sides of the same coin...),6
Gau:Herbs this way!,Gau,Herbs this way!,3
Penelo:It's been a while since we could just stroll like this. I think we've been stretching ourselves too thin lately.,Penelo,It's been a while since we could just stroll like this. I think we've been stretching ourselves too thin lately.,20
Garnet:...We have. I hope we can find those herbs alright.,Garnet,...We have. I hope we can find those herbs alright.,10
Gau:Smell good! Make Gau hungry!,Gau,Smell good! Make Gau hungry!,5
Penelo:Don't eat it! Lenna said they're poisonous.,Penelo,Don't eat it! Lenna said they're poisonous.,7
Lenna:Gau? Where did you go?,Lenna,Gau? Where did you go?,5
Gau:Over here! Come find Gau!,Gau,Over here! Come find Gau!,5
