Original,Character,Dialogue,Wordcount
"Mog:I can feel it. There's a warrior nearby, kupo.",Mog,"I can feel it. There's a warrior nearby, kupo.",9
Hope:Is that him?,Hope,Is that him?,3
???:(A kid...and a girl with cat ears?),???,(A kid...and a girl with cat ears?),7
Y'shtola:Do not be alarmed. We are not your foe.,Y'shtola,Do not be alarmed. We are not your foe.,9
???:So you're the ones I keep hearing about.,???,So you're the ones I keep hearing about.,8
"Vivi:You've heard about us, Mister?",Vivi,"You've heard about us, Mister?",5
"???:(""Mister""? Give me a break.)",???,"(""Mister""? Give me a break.)",5
Squall:I'm Squall. My client told me about you.,Squall,I'm Squall. My client told me about you.,8
Squall:Mentioned you're on a journey to seal the Torsions.,Squall,Mentioned you're on a journey to seal the Torsions.,9
Warrior of Light:What is your purpose here?,Warrior of Light,What is your purpose here?,5
Squall:I'm a mercenary.,Squall,I'm a mercenary.,3
Squall:I've been tasked to investigate this cavern and eliminate any threat.,Squall,I've been tasked to investigate this cavern and eliminate any threat.,11
"Hope:All by yourself? I get that you're a soldier, but...",Hope,"All by yourself? I get that you're a soldier, but...",10
Squall:I can take care of myself.,Squall,I can take care of myself.,6
Vivi:I guess he's not interested in joining us.,Vivi,I guess he's not interested in joining us.,8
Y'shtola:He is merely choosing not to get close to others.,Y'shtola,He is merely choosing not to get close to others.,10
"Y'shtola:In any event, he bears the light, does he not?",Y'shtola,"In any event, he bears the light, does he not?",10
"Warrior of Light:More importantly, who is this client he spoke of?",Warrior of Light,"More importantly, who is this client he spoke of?",9
"Mog:We'll just have to ask him ourselves, kupo!",Mog,"We'll just have to ask him ourselves, kupo!",8
"Mog:Found you, kupo!",Mog,"Found you, kupo!",3
Squall:(They're still here?),Squall,(They're still here?),3
"Vivi:Squall, are you fighting all by yourself? Isn't that a little dangerous?",Vivi,"Squall, are you fighting all by yourself? Isn't that a little dangerous?",12
Squall:You're the ones who need to be careful.,Squall,You're the ones who need to be careful.,8
Squall:This isn't a place for amateurs.,Squall,This isn't a place for amateurs.,6
Squall:You should get out of here before you get hurt.,Squall,You should get out of here before you get hurt.,10
Sazh:Would it kill you to lighten up a bit?,Sazh,Would it kill you to lighten up a bit?,9
"Rem:Squall, I'm a soldier just like you.",Rem,"Squall, I'm a soldier just like you.",7
Rem:Everyone here has their own reason for fighting. We know what we're doing.,Rem,Everyone here has their own reason for fighting. We know what we're doing.,13
"Cloud:Show off as much as you want, but we have some questions that need answers first.",Cloud,"Show off as much as you want, but we have some questions that need answers first.",16
Squall:(Who's showing off?),Squall,(Who's showing off?),3
Cloud:Who's your client? And how do they know about us?,Cloud,Who's your client? And how do they know about us?,10
Squall:That's confidential.,Squall,That's confidential.,2
Sazh:I don't get you at all. What's with the attitude?,Sazh,I don't get you at all. What's with the attitude?,10
Squall:You're the ones not making any sense.,Squall,You're the ones not making any sense.,7
Squall:You're risking your lives solely based on what that moogle told you.,Squall,You're risking your lives solely based on what that moogle told you.,12
"Squall:While in reality, you have no idea what's actually happening in this world right now.",Squall,"While in reality, you have no idea what's actually happening in this world right now.",15
"Mog:I'm a messenger of the goddess Materia. It's my duty to protect the planet, kupo!",Mog,"I'm a messenger of the goddess Materia. It's my duty to protect the planet, kupo!",15
Cloud:We all have something we want to protect. Isn't that reason enough?,Cloud,We all have something we want to protect. Isn't that reason enough?,12
Squall:Something you want to protect...,Squall,Something you want to protect...,5
"Cloud:Anyway, sorry for stopping you. Later.",Cloud,"Anyway, sorry for stopping you. Later.",6
Squall:Stop. You're no match for what's lurking around here.,Squall,Stop. You're no match for what's lurking around here.,9
Vivi:But it's way too dangerous for you to go alone too.,Vivi,But it's way too dangerous for you to go alone too.,11
"Squall:If you're scared, you can stay close to me. Just don't get in my way.",Squall,"If you're scared, you can stay close to me. Just don't get in my way.",15
Rem:So you'll join us then?,Rem,So you'll join us then?,5
Squall:I didn't say that. But I'll help you out while you're here.,Squall,I didn't say that. But I'll help you out while you're here.,12
"Squall:Come on, let's go. Things should be easier now that I'm with you.",Squall,"Come on, let's go. Things should be easier now that I'm with you.",13
Tifa:Looks like we made it.,Tifa,Looks like we made it.,5
Vivi:It feels good to be outside again.,Vivi,It feels good to be outside again.,7
Squall:Don't relax just yet. We still have to make it through the forest before we reach our destination.,Squall,Don't relax just yet. We still have to make it through the forest before we reach our destination.,18
"Hope:You really know your way around here, don't you?",Hope,"You really know your way around here, don't you?",9
"Squall:I'm just going by the information I received from my client. Anyway, be careful. There are monsters up ahead.",Squall,"I'm just going by the information I received from my client. Anyway, be careful. There are monsters up ahead.",19
Rem:Sounds like he's really familiar with the area. It's nice having someone you can count on.,Rem,Sounds like he's really familiar with the area. It's nice having someone you can count on.,16
Squall:I never said I trusted him. I'm simply relaying what I was told.,Squall,I never said I trusted him. I'm simply relaying what I was told.,13
Rem:You're risking your life for a client you don't even trust?,Rem,You're risking your life for a client you don't even trust?,11
Squall:...I needed a purpose. I was lost.,Squall,...I needed a purpose. I was lost.,7
