Original,Character,Dialogue,Wordcount
"Materia:With this power and you, Mog, we can...we should be able to save this world.",Materia,"With this power and you, Mog, we can...we should be able to save this world.",15
Mog:I shall lead our heroes to the Torsions' epicenter!,Mog,I shall lead our heroes to the Torsions' epicenter!,9
Mog:Together we will eradicate the threat and bring whoever is responsible for this madness to justice!,Mog,Together we will eradicate the threat and bring whoever is responsible for this madness to justice!,16
Materia:It will not be nearly so easy as you think.,Materia,It will not be nearly so easy as you think.,10
"Materia:The heroes you speak of are scattered across realms, each looking to fulfill their own destinies.",Materia,"The heroes you speak of are scattered across realms, each looking to fulfill their own destinies.",16
"Mog:Don't you worry, kupo! I've got it covered!",Mog,"Don't you worry, kupo! I've got it covered!",8
Mog:I've already found four warriors willing to fight for our cause.,Mog,I've already found four warriors willing to fight for our cause.,11
Materia:I see them now. The mighty Warrior of Light...,Materia,I see them now. The mighty Warrior of Light...,9
Materia:A young boy who harbors tremendous magical powers...,Materia,A young boy who harbors tremendous magical powers...,8
Materia:A man whose love for his family surpasses all...,Materia,A man whose love for his family surpasses all...,9
Materia:And a young girl who has grown into herself during a time of war...,Materia,And a young girl who has grown into herself during a time of war...,14
"Mog:And that makes four, kupo!",Mog,"And that makes four, kupo!",5
Materia:Indeed. It seems you are more than equal to the task.,Materia,Indeed. It seems you are more than equal to the task.,11
"Materia:Time, however, is not on your side.",Materia,"Time, however, is not on your side.",7
"Materia:Even as we speak, the Torsions continue to spread and evolve at an unprecedented rate.",Materia,"Even as we speak, the Torsions continue to spread and evolve at an unprecedented rate.",15
"Mog:Which is precisely why I must leave soon, kupo! Before I go, though, I have one question. What of Master Spiritus?",Mog,"Which is precisely why I must leave soon, kupo! Before I go, though, I have one question. What of Master Spiritus?",21
Materia:What of him?,Materia,What of him?,3
"Mog:You know he is plotting something, kupo! Should we not move to stop him?",Mog,"You know he is plotting something, kupo! Should we not move to stop him?",14
"Mog:Or do you not trust me enough to tell me, kupo...?",Mog,"Or do you not trust me enough to tell me, kupo...?",11
Materia:He and I... We are as day and nighteternally divorced.,Materia,He and I... We are as day and night—eternally divorced.,10
Materia:But he is none of your concern.,Materia,But he is none of your concern.,7
Mog:What if our methods of dealing with this issue were to collide with his plans?,Mog,What if our methods of dealing with this issue were to collide with his plans?,15
Materia:I trust that your warriors will find a way to overcome any problems that may arise.,Materia,I trust that your warriors will find a way to overcome any problems that may arise.,16
Materia:They will be guided by the light after all.,Materia,They will be guided by the light after all.,9
"Mog:...Very well, kupo.",Mog,"...Very well, kupo.",3
Mog:Now I really must get going. Already another Torsion has opened!,Mog,Now I really must get going. Already another Torsion has opened!,11
"Materia:Go forth, and see that the world is not met with destruction.",Materia,"Go forth, and see that the world is not met with destruction.",12
"Mog:Leave it to me, kupo!",Mog,"Leave it to me, kupo!",5
Materia:These Torsions destroy even the cycle of battle.,Materia,These Torsions destroy even the cycle of battle.,8
Materia:I only hope that it is not too late.,Materia,I only hope that it is not too late.,9
"Materia:If the world were to fall to ruin, it would mean I have failed as protector and god...",Materia,"If the world were to fall to ruin, it would mean I have failed as protector and god...",18
"Garland:With you out of the way, the light shall soon succumb to darkness! Then there will be no stopping me!",Garland,"With you out of the way, the light shall soon succumb to darkness! Then there will be no stopping me!",20
Garland:Now begone from this world!,Garland,Now begone from this world!,5
Warrior of Light:Where...am I?,Warrior of Light,Where...am I?,2
Warrior of Light:A Goblin? Allow me to handle this.,Warrior of Light,A Goblin? Allow me to handle this.,7
Mog:Kupo! Then allow me to teach you how to fight!,Mog,Kupo! Then allow me to teach you how to fight!,10
Mog:Kupo!? More enemies!?,Mog,Kupo!? More enemies!?,3
Vivi:L-let us help!,Vivi,L-let us help!,3
Warrior of Light:Thank you.,Warrior of Light,Thank you.,2
"Mog:That Goblin doesn't have much bravery. You might be able to inflict a BRV Break, kupo!",Mog,"That Goblin doesn't have much bravery. You might be able to inflict a BRV Break, kupo!",16
"Mog:To think that you were able to take on such fearsome beasts and live to tell the tale... You're incredible, kupo!",Mog,"To think that you were able to take on such fearsome beasts and live to tell the tale... You're incredible, kupo!",21
"Rem:Sir, are you all right? Earlier you seemed",Rem,"Sir, are you all right? Earlier you seemed—",8
"Warrior of Light:I'm fine. Thank you... Rem, was it?",Warrior of Light,"I'm fine. Thank you... Rem, was it?",7
Rem:Yes. And this is,Rem,Yes. And this is—,4
Vivi:Vivi. I am Vivi.,Vivi,Vivi. I am Vivi.,4
Vivi:Mog found and rescued me when I was first transported to this world.,Vivi,Mog found and rescued me when I was first transported to this world.,13
"Warrior of Light:So you, too, are warriors possessed of the light, brought here for some explicit purpose?",Warrior of Light,"So you, too, are warriors possessed of the light, brought here for some explicit purpose?",15
"Mog:That's correct, kupo!",Mog,"That's correct, kupo!",3
"Mog:Lately, Torsions have been threatening the safety of our world. You're our last hope of finding and closing them, kupo!",Mog,"Lately, Torsions have been threatening the safety of our world. You're our last hope of finding and closing them, kupo!",20
"Vivi:The monsters appeared from one of these Torsions, didn't they?",Vivi,"The monsters appeared from one of these Torsions, didn't they?",10
Rem:And we're the only ones who can seal them?,Rem,And we're the only ones who can seal them?,9
Rem:I feel that's far beyond our capabilities.,Rem,I feel that's far beyond our capabilities.,7
"Mog:You can do it, kupo! Have a little faith.",Mog,"You can do it, kupo! Have a little faith.",9
"Mog:There's a small Torsion nearby. Let's make our way there and seal it off, kupo.",Mog,"There's a small Torsion nearby. Let's make our way there and seal it off, kupo.",15
