Original,Character,Dialogue,Wordcount
Lenna: Father! Do you really have to go?,Lenna,Father! Do you really have to go?,7
"King Tycoon: You know I do, dear. I need you to protect the castle. Under no circumstances are you to follow me, do you understand?",King Tycoon,"You know I do, dear. I need you to protect the castle. Under no circumstances are you to follow me, do you understand?",23
"Lenna: But, Father...",Lenna,"But, Father...",2
King Tycoon: Something is wrong with the wind... I must go to the Wind Shrine to make certain nothing's happened to the crystal.,King Tycoon,Something is wrong with the wind... I must go to the Wind Shrine to make certain nothing's happened to the crystal.,21
"Lenna: Yes...I've noticed it as well. But, to go alone is-",Lenna,"Yes...I've noticed it as well. But, to go alone is-",10
"King Tycoon: Lenna. Don't worry, I'll be fine. Have faith.",King Tycoon,"Lenna. Don't worry, I'll be fine. Have faith.",8
Faris: The wind just...stopped...,Faris,The wind just...stopped...,3
Old Man: I've got to hurry!,Old Man,I've got to hurry!,4
Lenna: The wind's stopped. ...Father!,Lenna,The wind's stopped. ...Father!,4
King Tycoon: What in blazes...!?,King Tycoon,What in blazes...!?,3
"Bartz: Boko, wait here, okay?",Bartz,"Boko, wait here, okay?",4
"Bartz: Hey, are you all right?",Bartz,"Hey, are you all right?",5
Lenna: Y-yes... I believe so... I give you my thanks. My name is Lenna. And you are...?,Lenna,Y-yes... I believe so... I give you my thanks. My name is Lenna. And you are...?,16
Bartz: Me?,Bartz,Me?,1
Bartz: Call me Bartz. Me and my chocobo just go wherever the trail leads us...,Bartz,Call me Bartz. Me and my chocobo just go wherever the trail leads us...,14
Lenna: Bartz...,Lenna,Bartz...,1
Lenna: This rock suddenly fell from the sky... The impact must have knocked me out.,Lenna,This rock suddenly fell from the sky... The impact must have knocked me out.,14
Bartz: Guess it's a meteorite.,Bartz,Guess it's a meteorite.,4
Lenna: A meteorite... I wonder if it has a connection to the wind stopping?,Lenna,A meteorite... I wonder if it has a connection to the wind stopping?,13
"Lenna: Again, I give you my thanks. I wish I could do something more to show my appreciation, but I really must go...",Lenna,"Again, I give you my thanks. I wish I could do something more to show my appreciation, but I really must go...",22
"Bartz: Whoa- hey, hold up a sec...",Bartz,"Whoa- hey, hold up a sec...",6
Lenna: Bartz... Did you hear something?,Lenna,Bartz... Did you hear something?,5
Bartz: Huh?,Bartz,Huh?,1
Bartz: Over there!,Bartz,Over there!,2
Lenna: Are you all right?,Lenna,Are you all right?,4
Old Man: Where am I... Oh...my aching head!,Old Man,Where am I... Oh...my aching head!,6
Old Man: Sakes alive...what's happened? I don't remember... Ehh...? I can't remember anything!,Old Man,Sakes alive...what's happened? I don't remember... Ehh...? I can't remember anything!,11
Bartz: Looks like you hit your head pretty bad... Maybe you got amnesia.,Bartz,Looks like you hit your head pretty bad... Maybe you got amnesia.,12
Old Man: Oh! Something came back to me... My name is Galuf!,Old Man,Oh! Something came back to me... My name is Galuf!,10
Lenna: That's a start! Anything else?,Lenna,That's a start! Anything else?,5
"Galuf: ... ...Nope, just the name! Other than that, my memory's a blank slate...",Galuf,"... ...Nope, just the name! Other than that, my memory's a blank slate...",13
"Lenna: I'm very sorry...but you must excuse me, I have no time to waste.",Lenna,"I'm very sorry...but you must excuse me, I have no time to waste.",13
Bartz: Where're you going?,Bartz,Where're you going?,3
Lenna: I must go to the Wind Shrine...,Lenna,I must go to the Wind Shrine...,7
"Galuf: The Wind Shrine! Now that you mention it, I'm pretty sure that's where I was headed! It's decided, I'm going with you!",Galuf,"The Wind Shrine! Now that you mention it, I'm pretty sure that's where I was headed! It's decided, I'm going with you!",22
Lenna: But...,Lenna,But...,1
"Galuf: I could never let such a sweet girl go all by her lonesome. Plus, I know I've gotta get to that shrine...I feel it in my bones. You've gotta take me with!",Galuf,"I could never let such a sweet girl go all by her lonesome. Plus, I know I've gotta get to that shrine...I feel it in my bones. You've gotta take me with!",32
"Lenna: Bartz, What about you?",Lenna,"Bartz, What about you?",4
"Bartz: ...Sorry, I'm gonna bow out on this one. Good luck, though.",Bartz,"...Sorry, I'm gonna bow out on this one. Good luck, though.",11
Lenna: Bartz... Thank you again. Farewell...,Lenna,Bartz... Thank you again. Farewell...,5
"Galuf: Godspeed, and all that whatnot!",Galuf,"Godspeed, and all that whatnot!",5
"Bartz: Come on, Boko, let's go!",Bartz,"Come on, Boko, let's go!",5
"Bartz: Ow!!! Boko! Bad, bad chocobo! What are you doing, stopping like that!? ...Now don't you give me that look.",Bartz,"Ow!!! Boko! Bad, bad chocobo! What are you doing, stopping like that!? ...Now don't you give me that look.",19
Boko: Kweh! Kweh kweh!,Boko,Kweh! Kweh kweh!,3
"Bartz: ...I know, it's just a girl and an old man... And with all those goblins around... Fine, I got it, I got it.",Bartz,"...I know, it's just a girl and an old man... And with all those goblins around... Fine, I got it, I got it.",23
Lenna: Augh!,Lenna,Augh!,1
Galuf: Geh!,Galuf,Geh!,1
"Bartz: Boko, come on!",Bartz,"Boko, come on!",3
Boko: Kweh!,Boko,Kweh!,1
Lenna: Ohhh...,Lenna,Ohhh...,1
Bartz: G'morning.,Bartz,G'morning.,1
Lenna: Bartz! It seems I cannot escape being in your debt...,Lenna,Bartz! It seems I cannot escape being in your debt...,10
"Bartz: Hey, don't worry about it.",Bartz,"Hey, don't worry about it.",5
Bartz: The shockwave from the meteorite's impact caused landslides... The road's covered in rubble. I don't think you're gonna be able to make it to Tule that way.,Bartz,The shockwave from the meteorite's impact caused landslides... The road's covered in rubble. I don't think you're gonna be able to make it to Tule that way.,27
"Lenna: But...if I can't get to the Wind Shrine, then...",Lenna,"But...if I can't get to the Wind Shrine, then...",9
Galuf: Uhhhh...,Galuf,Uhhhh...,1
Galuf: Wind Shrine...gotta hurry...,Galuf,Wind Shrine...gotta hurry...,3
"Bartz: The old guy's pretty dead set on getting there, too... All right. I'll go with you and personally see to it that you get there safely!",Bartz,"The old guy's pretty dead set on getting there, too... All right. I'll go with you and personally see to it that you get there safely!",26
Lenna: Oh! Really?,Lenna,Oh! Really?,2
"Bartz: Yeah! You know, it was my dad's dying wish that I go out and travel the world... Plus, this time, it feels like- like the wind is calling me.",Bartz,"Yeah! You know, it was my dad's dying wish that I go out and travel the world... Plus, this time, it feels like- like the wind is calling me.",29
Galuf: What a sweet-talker! As if you don't just have the hots for the little missy.,Galuf,What a sweet-talker! As if you don't just have the hots for the little missy.,15
Bartz: What- You're awake?,Bartz,What- You're awake?,3
Galuf: Don't sound so surprised. This old dog is always ready for anything!,Galuf,Don't sound so surprised. This old dog is always ready for anything!,12
