Original,Character,Dialogue,Wordcount
???: Wutai troops have hijacked Shinra Express MK93 II. The train is currently headed to Midgar Sector 8. A SOLDIER operative will be inserted to neutralize the situation. We are to proceed as scheduled. Commence mission in 3 2 1 mark. Begin mission. Operative is ready for insertion.,???,Wutai troops have hijacked Shinra Express MK93 II. The train is currently headed to Midgar Sector 8. A SOLDIER operative will be inserted to neutralize the situation. We are to proceed as scheduled. Commence mission in 3 2 1 mark. Begin mission. Operative is ready for insertion.,47
???: The train has been overrun by Wutai troops. Eliminate them and regain control of the train.,???,The train has been overrun by Wutai troops. Eliminate them and regain control of the train.,16
???: Oh yeah!,???,Oh yeah!,2
???: Get serious!,???,Get serious!,2
???: Zack!,???,Zack!,1
"???: Zack, focus! There are no Shinra troops on this train. Understood?",???,"Zack, focus! There are no Shinra troops on this train. Understood?",11
"Zack: Hello to you, too!",Zack,"Hello to you, too!",4
Zack: Come and get it!,Zack,Come and get it!,4
"Zack: SOLDIER 2nd Class Zack, on the job!",Zack,"SOLDIER 2nd Class Zack, on the job!",7
???: Train MK 93 II re-routed to Sector 1 Station near Mako Reactor 1. Proceed to mission phase 2 and change surveillance rank...,???,Train MK 93 II re-routed to Sector 1 Station near Mako Reactor 1. Proceed to mission phase 2 and change surveillance rank...,22
Zack: Zack speaking.,Zack,Zack speaking.,2
"???(on the phone): Making progress, Zack?",???,"Making progress, Zack?",3
"Zack: What's going on, Angeal? Why are we fighting Shinra troops?",Zack,"What's going on, Angeal? Why are we fighting Shinra troops?",10
"Angeal (on the phone): They're Wutai troops in disguise. Now, head to the open area above.",Angeal ,"They're Wutai troops in disguise. Now, head to the open area above.",12
Zack: Towards Sector 8?,Zack,Towards Sector 8?,3
"Angeal (on the phone): Yes. But first, you have to clear a path.",Angeal ,"Yes. But first, you have to clear a path.",9
Zack: Clear a path?,Zack,Clear a path?,3
Angeal (on the phone): You'll see what I mean. Be careful.,Angeal ,You'll see what I mean. Be careful.,7
Angeal (on the phone): Use some discretion.,Angeal ,Use some discretion.,3
Zack: It's showtime!,Zack,It's showtime!,2
Angeal (on the phone): Not too bad.,Angeal ,Not too bad.,3
Zack: Piece of cake! I'll make 1st in no time!,Zack,Piece of cake! I'll make 1st in no time!,9
Angeal (on the phone): Go up the stairs at the end of the platform.,Angeal ,Go up the stairs at the end of the platform.,10
Zack: You got it!,Zack,You got it!,3
???: Showing your back to the enemy... Overconfidence will destroy you.,???,Showing your back to the enemy... Overconfidence will destroy you.,10
Zack: Wh-what is this?,Zack,Wh-what is this?,3
"Zack: Damn it, you're not the only hero!",Zack,"Damn it, you're not the only hero!",7
???: It's over.,???,It's over.,2
Angeal: Impossible!,Angeal,Impossible!,1
"Zack: Thanks, Angeal.",Zack,"Thanks, Angeal.",2
Angeal: Training's over.,Angeal,Training's over.,2
Zack: Wha? Why?,Zack,Wha? Why?,2
Zack: You serious? I was just getting warmed up!,Zack,You serious? I was just getting warmed up!,8
Angeal: Zack. Embrace your dreams.,Angeal,Zack. Embrace your dreams.,4
Zack: Huh?,Zack,Huh?,1
Angeal: If you want to be a hero you need to have dreams...and honor.,Angeal,If you want to be a hero you need to have dreams...and honor.,13
Zack: Huh.,Zack,Huh.,1
"???: Hey Zack, you seem a little on edge.",???,"Hey Zack, you seem a little on edge.",8
Zack: Can you blame me? All this training and no assignments. Like they're hanging me out to dry. You must be pretty busy with everyone off base.,Zack,Can you blame me? All this training and no assignments. Like they're hanging me out to dry. You must be pretty busy with everyone off base.,26
"???: Off-base? Wait, haven't you heard? There's been a mass desertion at SOLDIER.",???,"Off-base? Wait, haven't you heard? There's been a mass desertion at SOLDIER.",12
"Kunsel: It appears one of the 1sts deserted. He took a bunch of 2nds and 3rds with him, too. Nobody knows why he left, or what he's up to. This mass desertion's the reason why your training's on hold.",Kunsel,"It appears one of the 1sts deserted. He took a bunch of 2nds and 3rds with him, too. Nobody knows why he left, or what he's up to. This mass desertion's the reason why your training's on hold.",38
"Kunsel: Heads up, a 1st!",Kunsel,"Heads up, a 1st!",4
"Angeal: Zack, new assignment.",Angeal,"Zack, new assignment.",3
Zack: Woo! Finally! Some real action!,Zack,Woo! Finally! Some real action!,5
Angeal: This will be your show.,Angeal,This will be your show.,5
Zack: Yes!,Zack,Yes!,1
Angeal: Report to Director Lazard. We'll give you the details.,Angeal,Report to Director Lazard. We'll give you the details.,9
"Lazard: Zack. It's good to finally meet face to face. Lazard, Director of SOLDIER.",Lazard,"Zack. It's good to finally meet face to face. Lazard, Director of SOLDIER.",13
Zack: Heya!,Zack,Heya!,1
Zack: On to business.,Zack,On to business.,3
"Lazard: SOLDIER 1st Class Genesis. A month ago, he went missing during a mission in Wutai. Know anything about this?",Lazard,"SOLDIER 1st Class Genesis. A month ago, he went missing during a mission in Wutai. Know anything about this?",19
Zack: Not a clue!,Zack,Not a clue!,3
Lazard: The mission is currently stuck in limbo. That's why we've decided to send you.,Lazard,The mission is currently stuck in limbo. That's why we've decided to send you.,14
"Zack: Uh, to Wutai?",Zack,"Uh, to Wutai?",3
Lazard: Yes. This war has gone on long enough.,Lazard,Yes. This war has gone on long enough.,8
Angeal (to Zack): I've recommended you for 1st.,Angeal ,I've recommended you for 1st.,5
Zack: Angeal! I love you man! Ang--,Zack,Angeal! I love you man! Ang--,6
"Angeal: Don't make me regret this, Zack.",Angeal,"Don't make me regret this, Zack.",6
Zack: Sir!,Zack,Sir!,1
"Angeal: Once you're packed, you'll leave at once.",Angeal,"Once you're packed, you'll leave at once.",7
"Angeal: The operation will begin immediately upon arrival at Wutai. If you have any questions about the assignment or combat in general, you should talk to the other SOLDIER operatives.",Angeal,"The operation will begin immediately upon arrival at Wutai. If you have any questions about the assignment or combat in general, you should talk to the other SOLDIER operatives.",29
Lazard: You will take over the assignment that was given to Genesis. Proceed to Wutai once you've made all the necessary preparations.,Lazard,You will take over the assignment that was given to Genesis. Proceed to Wutai once you've made all the necessary preparations.,21
Kunsel: So? Did you read the mail?,Kunsel,So? Did you read the mail?,6
"Zack: Oh, the tutorial mail...",Zack,"Oh, the tutorial mail...",4
