Original,Character,Dialogue,Wordcount
On-screen: Mako Reactor 1,On-screen,Mako Reactor 1,3
"Barret: Get down here, merc.",Barret,"Get down here, merc.",4
Security Officer (1): Halt!,Security Officer ,Halt!,1
Security Officer (2): Who goes there!?,Security Officer ,Who goes there!?,3
Barret: You're up.,Barret,You're up.,2
Security Officer (1): You're coming with us.,Security Officer ,You're coming with us.,4
Security Officer (2): Nice and easy!,Security Officer ,Nice and easy!,3
Cloud: Don't think so.,Cloud,Don't think so.,3
Security Officer: Who in the hell!?,Security Officer,Who in the hell—!?,4
Security Officer: Hands where I can see 'em!,Security Officer,Hands where I can see 'em!,6
Jessie: Have fun!,Jessie,Have fun!,2
Security Officer (3): Freeze!,Security Officer ,Freeze!,1
Security Officer (4): Move and we shoot!,Security Officer ,Move and we shoot!,4
Cloud: Go ahead.,Cloud,Go ahead.,2
Cloud: Enough of this.,Cloud,Enough of this.,3
Security Officer: Holy shit! He a SOLDIER operator?,Security Officer,Holy shit! He a SOLDIER operator?,6
Security Officer: He can use magic!?,Security Officer,He can use magic!?,4
Security Officer: Drop the weapon!,Security Officer,Drop the weapon!,3
Biggs: You got this!,Biggs,You got this!,3
"Wedge: Yeah, what he said!",Wedge,"Yeah, what he said!",4
Security Officer: You're coming with us!,Security Officer,You're coming with us!,4
Cloud: Can't get surrounded.,Cloud,Can't get surrounded.,3
"Jessie: So what's SOLDIER boy's deal? Is he one of us now? He's got balls, this, uh... Uh...what was his name again?",Jessie,"So what's SOLDIER boy's deal? Is he one of us now? He's got balls, this, uh... Uh...what was his name again?",21
Biggs: Cloud. Cloud Strife.,Biggs,Cloud. Cloud Strife.,3
Jessie: Right.,Jessie,Right.,1
"Biggs: And he isn't a SOLDIER anymore. Still, he's a professionalunlike the rest of us. I'm glad to have him.",Biggs,"And he isn't a SOLDIER anymore. Still, he's a professional—unlike the rest of us. I'm glad to have him.",19
"Cloud: This is a onetime gig. When it's done, we're done.",Cloud,"This is a onetime gig. When it's done, we're done.",10
Biggs: Real joy to work with though.,Biggs,Real joy to work with though.,6
Jessie: Real joy to look at too.,Jessie,Real joy to look at too.,6
Biggs: Here we go...,Biggs,Here we go...,3
Jessie: Looks are what people notice first.,Jessie,Looks are what people notice first.,6
"Biggs: Guess I'm not on the same page as ""people.""",Biggs,"Guess I'm not on the same page as ""people.""",9
Jessie: I'd say you're not even reading the same book.,Jessie,I'd say you're not even reading the same book.,9
Biggs: Enough. We're done here.,Biggs,Enough. We're done here.,4
Jessie: Or even the same,Jessie,Or even the same—,4
Biggs: Give it a rest.,Biggs,Give it a rest.,4
"Wedge: C'mon, nobody'd do something this crazy just for money.Theymay not think you're a true believer, but you know what I think?",Wedge,"C'mon, nobody'd do something this crazy just for money. They may not think you're a true believer, but you know what I think?",21
Cloud: Not interested.,Cloud,Not interested.,2
Barret: Wedge!,Barret,Wedge!,1
"Barret: You'd better be worth the money, merc. Every last gil.",Barret,"You'd better be worth the money, merc. Every last gil.",10
"Security Officer: Get him, boy!",Security Officer,"Get him, boy!",3
Cloud: Guess you're first.,Cloud,Guess you're first.,3
Security Officer: Hey!,Security Officer,Hey!,1
Cloud: Looks like you're next.,Cloud,Looks like you're next.,4
Security Officer: I found one!,Security Officer,I found one!,3
Wedge: Hey Cloud! Elevator's over there! Catch up soon!,Wedge,Hey Cloud! Elevator's over there! Catch up soon!,8
Biggs: This way!,Biggs,This way!,2
Biggs: Not so fast. We've got company.,Biggs,Not so fast. We've got company.,6
Security Officer (1): There's one!,Security Officer ,There's one!,2
Security Officer (2): Get him!,Security Officer ,Get him!,2
Barret: You know what to donowgo!,Barret,You know what to do—now go!,5
Wedge: See you later!,Wedge,See you later!,3
"Jessie: C'mon, Cloud!",Jessie,"C'mon, Cloud!",2
Barret: Pick up the pace!,Barret,Pick up the pace!,4
On-screen: Mako Reactor 1 - Interior,On-screen,Mako Reactor 1 - Interior,5
"Barret: SOLDIERs may attack on command, but I hear they make good guard dogs too. Bet you've seen a few reactors. So how do we get to the bridge above mako storage?",Barret,"SOLDIERs may attack on command, but I hear they make good guard dogs too. Bet you've seen a few reactors. So how do we get to the bridge above mako storage?",31
"Barret: Ain't holding out on me, are you? Stamp scared to bite the hand that fed him? Or is he a loyal little doggie!?",Barret,"Ain't holding out on me, are you? Stamp scared to bite the hand that fed him? Or is he a loyal little doggie!?",23
"Barret: Have it your way, mutt. We can do thiswithyou, or we can do thiswithoutyou.",Barret,"Have it your way, mutt. We can do this with you, or we can do this without you.",14
"Cloud: Different reactor, different layout. Depends when it was built. Never seen one like this, but I'll manage.",Cloud,"Different reactor, different layout. Depends when it was built. Never seen one like this, but I'll manage.",17
Jessie: Don't you worry. Biggs'll have the door open soon.,Jessie,Don't you worry. Biggs'll have the door open soon.,9
Barret: I'm watching you.,Barret,I'm watching you.,3
"Biggs: In three, two... Damn, I'm good!",Biggs,"In three, two... Damn, I'm good!",6
Security Officer (1): Who's there!? Door!,Security Officer ,Who's there!? Door!,3
Barret: W-wait!,Barret,W-wait!,1
Security Officer (2): It's over!,Security Officer ,It's over!,2
Cloud: That's my line.,Cloud,That's my line.,3
Security Officer (1): He's alone! We can take him!,Security Officer ,He's alone! We can take him!,6
Security Officer (2): Make it rain!,Security Officer ,Make it rain!,3
Jessie: We're back!,Jessie,We're back!,2
Cloud: Then let's move.,Cloud,Then let's move.,3
Jessie: He always knows just what to say!,Jessie,He always knows just what to say!,7
Barret: Cut it out!,Barret,Cut it out!,3
"Barret: Simmer down, hotshot.",Barret,"Simmer down, hotshot.",3
"Jessie: It's a good thing I know someone who can get us the passcodes. Pity no one else at command will talk to us, but what can you do? And we're good!",Jessie,"It's a good thing I know someone who can get us the passcodes. Pity no one else at command will talk to us, but what can you do? And we're good!",31
Biggs: Careful in there.,Biggs,Careful in there.,3
"Biggs: Well, what're you waiting for?",Biggs,"Well, what're you waiting for?",5
Biggs: I got this place covered.,Biggs,I got this place covered.,5
"Barret: Security's only gonna get tighter, so be ready. We can't afford any mistakes.",Barret,"Security's only gonna get tighter, so be ready. We can't afford any mistakes.",13
Jessie: Looks like the elevator's on another floor. Mind pushing that button?,Jessie,Looks like the elevator's on another floor. Mind pushing that button?,11
"Jessie: So...you know Tifa, right? It's not really my business, but are you guysclose?",Jessie,"So...you know Tifa, right? It's not really my business, but are you guys close?",13
Tifa: Cloud! Are you ignoring me!?,Tifa,Cloud! Are you ignoring me!?,5
Cloud: Tifa and I...,Cloud,Tifa and I...,3
"Heidegger: These sewer rats appear to call themselves Avalanche, sir. We are currently investigating whether they belong to the same group that made the attempt on your life. Rest assured, our inquiries will not take much longer.",Heidegger,"These sewer rats appear to call themselves Avalanche, sir. We are currently investigating whether they belong to the same group that made the attempt on your life. Rest assured, our inquiries will not take much longer.",36
"Barret: This pump's sole purpose is to drain the planet dry. While you sleep, while you eat, while you shitit's here, sucking up mako. It doesn't rest and it doesn't care! You do realize what mako is, don't you?",Barret,"This pump's sole purpose is to drain the planet dry. While you sleep, while you eat, while you shit—it's here, sucking up mako. It doesn't rest and it doesn't care! You do realize what mako is, don't you?",38
"Barret: Mako is the lifeblood of our world. The planet bleeds green like you and me bleed red. The hell you think's gonna happen when it's all gone, huh!? Answer me!",Barret,"Mako is the lifeblood of our world. The planet bleeds green like you and me bleed red. The hell you think's gonna happen when it's all gone, huh!? Answer me!",30
Barret: You gonna stand there and pretend you can't hear the planet crying out in pain? I know you can!,Barret,You gonna stand there and pretend you can't hear the planet crying out in pain? I know you can!,19
Cloud: You really hear that?,Cloud,You really hear that?,4
Barret: Damn straight I do!,Barret,Damn straight I do!,4
Cloud: Get help.,Cloud,Get help.,2
Barret: Say that again!,Barret,Say that again!,3
Cloud: I'd worry less about the planet and more about the next five seconds. Save the screaming for later.,Cloud,I'd worry less about the planet and more about the next five seconds. Save the screaming for later.,18
On-screen: Mako Reactor 1 - Utility Access,On-screen,Mako Reactor 1 - Utility Access,6
"Barret: Our lives are on the line now. You listening, merc? One false move... And that happens!",Barret,"Our lives are on the line now. You listening, merc? One false move... And that happens!",16
"Jessie: Well, so much for having Cloud do all the fighting. There are some places a sword just can't reach... Just...bear with him for me, would you?",Jessie,"Well, so much for having Cloud do all the fighting. There are some places a sword just can't reach... Just...bear with him for me, would you?",26
Cloud: Should've asked for more money.,Cloud,Should've asked for more money.,5
Barret: Gonna throw your sword at 'em? Let the man with the gun go to work! These tin cans ain't got nothing on me!,Barret,Gonna throw your sword at 'em? Let the man with the gun go to work! These tin cans ain't got nothing on me!,23
Barret: Now for the real show!,Barret,Now for the real show!,5
"Barret: Do your job, merc!",Barret,"Do your job, merc!",4
Cloud: Shut up and move over.,Cloud,Shut up and move over.,5
Cloud: Don't forget to aim.,Cloud,Don't forget to aim.,4
Barret: Oh yeah? How about I aim for your head!?,Barret,Oh yeah? How about I aim for your head!?,9
Jessie: Look what we have here.,Jessie,Look what we have here.,5
Cloud: A laser security system... Great.,Cloud,A laser security system... Great.,5
Jessie: Those things'll hurt more than your pride if you're careless. They'll cut you down to size and then some. ...But I'm guessing you've done this kind of thing before.,Jessie,Those things'll hurt more than your pride if you're careless. They'll cut you down to size and then some. ...But I'm guessing you've done this kind of thing before.,29
Cloud: Yeah. Figure out the timing of the lasers. Then make a move when they cycle off.,Cloud,Yeah. Figure out the timing of the lasers. Then make a move when they cycle off.,16
Jessie: Exactly! I'll go first. Nothing like a little danger to get the blood pumping.,Jessie,Exactly! I'll go first. Nothing like a little danger to get the blood pumping.,14
Cloud: Hey!,Cloud,Hey!,1
Jessie: Just keep those baby blues of yours on me!,Jessie,Just keep those baby blues of yours on me!,9
Jessie: Huh. He's a natural!,Jessie,Huh. He's a natural!,4
Jessie: Not too shabby.,Jessie,Not too shabby.,3
"Jessie: You're doing good, SOLDIER!",Jessie,"You're doing good, SOLDIER!",4
"Jessie: Okay, let's see what's up next!",Jessie,"Okay, let's see what's up next!",6
