Original,Character,Dialogue,Wordcount
Barret: C'mon newcomer. Follow me.,Barret,C'mon newcomer. Follow me.,4
Biggs: Wow! You used to be in SOLDIER all right! ...Not everyday ya find one in a group like AVALANCHE.,Biggs,Wow! You used to be in SOLDIER all right! ...Not everyday ya find one in a group like AVALANCHE.,19
Jessie: SOLDIER? Aren't they the enemy? What's he doing with us in AVALANCHE?,Jessie,SOLDIER? Aren't they the enemy? What's he doing with us in AVALANCHE?,12
"Biggs: Hold it, Jessie. He WAS in SOLDIER. He quit them and now is one of us.",Biggs,"Hold it, Jessie. He WAS in SOLDIER. He quit them and now is one of us.",16
Biggs: Didn't catch your name...,Biggs,Didn't catch your name...,4
On-screen: Please enter a name.,On-screen,Please enter a name.,4
Cloud: ...Cloud.,Cloud,...Cloud.,1
"Biggs: Cloud, eh? I'm...",Biggs,"Cloud, eh? I'm...",3
Cloud: I don't care what your names are. Once this job's over...I'm outta here.,Cloud,I don't care what your names are. Once this job's over...I'm outta here.,13
Barret: The hell you all doin'!? I thought I told you never to move in a group! Our target's the North Mako Reactor. We'll meet on the bridge in front of it.,Barret,The hell you all doin'!? I thought I told you never to move in a group! Our target's the North Mako Reactor. We'll meet on the bridge in front of it.,31
"Barret: Ex-SOLDIER, huh? Don't trust ya!",Barret,"Ex-SOLDIER, huh? Don't trust ya!",5
Barret: If you push the Directional button while pushing the [CANCEL] button to run. (earlier marked,Barret,If you push the Directional button while pushing the [CANCEL] button to run. (earlier marked ,15
Barret: Yo! This your first time in a reactor?,Barret,Yo! This your first time in a reactor?,8
"Cloud: No. After all, I did work for Shinra, y'know.",Cloud,"No. After all, I did work for Shinra, y'know.",9
Barret: The planet's full of Mako energy. People here use it every day. It's the life blood of this planet. But Shinra keeps suckin' the blood out with these weird machines.,Barret,The planet's full of Mako energy. People here use it every day. It's the life blood of this planet. But Shinra keeps suckin' the blood out with these weird machines.,30
Cloud: I'm not here for a lecture. Let's just hurry.,Cloud,I'm not here for a lecture. Let's just hurry.,9
Barret: That's it! You're comin' with me from now on.,Barret,That's it! You're comin' with me from now on.,9
Biggs: Code deciphered,Biggs,Code deciphered,2
"Biggs: Think how many of our people risked their lives, just for this code...",Biggs,"Think how many of our people risked their lives, just for this code...",13
Jessie: Biggs and I got the code for this door.,Jessie,Biggs and I got the code for this door.,9
Jessie: Code deciphered,Jessie,Code deciphered,2
Jessie: Push that button over there!,Jessie,Push that button over there!,5
On-screen: Switch On.,On-screen,Switch On.,2
Barret: Little by little the reactors'll drain out all the life. And that'll be that.,Barret,Little by little the reactors'll drain out all the life. And that'll be that.,14
Cloud: It's not my problem.,Cloud,It's not my problem.,4
"Barret: The planet's dyin', Cloud!",Barret,"The planet's dyin', Cloud!",4
Cloud: The only thing I care about is finishin' this job before security and the Roboguards come.,Cloud,The only thing I care about is finishin' this job before security and the Roboguards come.,16
"Jessie: Push the [OK] button in front of a ladder to grab on to it. After that, use the [Directional button] to move up and down.",Jessie,"Push the [OK] button in front of a ladder to grab on to it. After that, use the [Directional button] to move up and down.",25
"Barret: When we blow this place, this ain't gonna be nothin' more than a hunka junk. Cloud, you set the bomb.",Barret,"When we blow this place, this ain't gonna be nothin' more than a hunka junk. Cloud, you set the bomb.",20
Cloud: Shouldn't you do it?,Cloud,Shouldn't you do it?,4
Barret: Jus' do it! I gotta watch to make sure you don't pull nothin'.,Barret,Jus' do it! I gotta watch to make sure you don't pull nothin'.,13
"Cloud: Fine, be my guest.",Cloud,"Fine, be my guest.",4
On-screen: Watch out! This isn't just a reactor!!,On-screen,Watch out! This isn't just a reactor!!,7
Barret: ......What's wrong?,Barret,......What's wrong?,2
Cloud: Huh?,Cloud,Huh?,1
"Barret: What's wrong, Cloud? Hurry it up!",Barret,"What's wrong, Cloud? Hurry it up!",6
"Cloud: ...Yeah, sorry.",Cloud,"...Yeah, sorry.",2
"Barret: Heads up, here they come!",Barret,"Heads up, here they come!",5
"Cloud: Barret, be careful!",Cloud,"Barret, be careful!",3
Cloud: It's gonna fire that laser...,Cloud,It's gonna fire that laser...,5
Cloud: Attack while it's tail's up! It's gonna counterattack with its laser.,Cloud,Attack while it's tail's up! It's gonna counterattack with its laser.,11
"Barret: I dunno what's goin' on, but... it looks pretty bad. Let's see what it does when it's tail's up...",Barret,"I dunno what's goin' on, but... it looks pretty bad. Let's see what it does when it's tail's up...",19
"Cloud: Come on, let's get outta here!",Cloud,"Come on, let's get outta here!",6
On-screen: Ten minutes to detonation!,On-screen,Ten minutes to detonation!,4
Cloud: The alarm!,Cloud,The alarm!,2
Cloud: You all right?,Cloud,You all right?,3
Jessie: My leg got stuck.,Jessie,My leg got stuck.,4
Jessie: Thanks!,Jessie,Thanks!,1
Jessie: Code deciphered,Jessie,Code deciphered,2
"Jessie: Alright, be careful.",Jessie,"Alright, be careful.",3
Biggs: Jessie still hasn't come up yet!,Biggs,Jessie still hasn't come up yet!,6
Biggs: Code deciphered,Biggs,Code deciphered,2
Biggs: Let's go!,Biggs,Let's go!,2
Biggs: That should keep the planet going... at least a little longer.,Biggs,That should keep the planet going... at least a little longer.,11
Wedge: Yeah.,Wedge,Yeah.,1
Barret: .........,Barret,.........,1
Jessie: OK! Now everyone get back.,Jessie,OK! Now everyone get back.,5
"Barret: All right, now let's get out of here.",Barret,"All right, now let's get out of here.",8
