Original,Character,Dialogue,Wordcount
Lunafreya Nox Fleuret:(narrating)For centuries the sacred magic of theDivine Crystalblessed our world and its people.,Lunafreya, (narrating) For centuries the sacred magic of the Divine Crystal blessed our world and its people.,13
"Lunafreya:(narrating)But, in time, the promise of its power brought war to our lands.",Lunafreya," (narrating) But, in time, the promise of its power brought war to our lands.",13
"Lunafreya:(narrating)Amid the escalating war, Prince Noctis of Lucis had come to Tenebrae to seek healing for a grievous injury. He made the long journey together with his father, King Regis.",Lunafreya," (narrating) Amid the escalating war, Prince Noctis of Lucis had come to Tenebrae to seek healing for a grievous injury. He made the long journey together with his father, King Regis.",30
"Lunafreya:(narrating)Mother, brother, and I, the royalty of Tenebrae, had all welcomed their visit.",Lunafreya," (narrating) Mother, brother, and I, the royalty of Tenebrae, had all welcomed their visit.",13
"Lunafreya:(narrating)It was then that the fires came, everywhere and all at once.",Lunafreya," (narrating) It was then that the fires came, everywhere and all at once.",12
"Lunafreya:(narrating)In a mere instant, the whole of Tenebrae was ablaze.",Lunafreya," (narrating) In a mere instant, the whole of Tenebrae was ablaze.",10
Ravus Nox Fleuret:Mother!,Ravus, Mother!,1
Regis Lucis Caelum:General Glauca.,King Regis, General Glauca.,2
Luna:(narrating)The Niflheim attack was an attempt on the lives of the visiting Lucian royalty.,Luna, (narrating) The Niflheim attack was an attempt on the lives of the visiting Lucian royalty.,14
"Ravus:Please, help us! King Regis!",Ravus," Please, help us! King Regis!",5
Noctis Lucis Caelum:Luna!,Noctis, Luna!,1
"Lunafreya:(narrating)From that day until this day, Tenebrae has been gripped in the iron fist of Niflheim, sworn enemy of Lucis.",Lunafreya," (narrating) From that day until this day, Tenebrae has been gripped in the iron fist of Niflheim, sworn enemy of Lucis.",20
"Libertus Ostium:What's the hold-up, Crowe?",Libertus," What's the hold-up, Crowe?",4
Crowe:(into earpiece)Almost there...,Crowe, (into earpiece) Almost there...,3
Pelna Khara:Lucis isn't paying us refugees enough for this!,Pelna Khara, Lucis isn't paying us refugees enough for this!,8
Pelna:How is this fair?,Pelna, How is this fair?,4
"Pelna:Nyx, I owe you one.",Pelna," Nyx, I owe you one.",5
Nyx:You and everyone else.,Nyx, You and everyone else.,4
"Nyx:I'm on my way. Pelna, fall back and regroup with the others.",Nyx," I'm on my way. Pelna, fall back and regroup with the others.",12
"Pelna:Go easy on the magic, hero. You got people waiting for you back home.",Pelna," Go easy on the magic, hero. You got people waiting for you back home.",14
Nyx:I'm worth the wait.,Nyx, I'm worth the wait.,4
"Luche:(over radio)Watch your back, Libertus. We got more incoming.",Luche," (over radio) Watch your back, Libertus. We got more incoming.",9
Libertus:We ain't gonna last much longer. Crowe!,Libertus, We ain't gonna last much longer. Crowe!,7
"Luche:(over radio)All Glaives, fall back. Repeat, all Glaives fall back!",Luche," (over radio) All Glaives, fall back. Repeat, all Glaives fall back!",10
Niflheim Man:Release the daemon.,Niflheim Man, Release the daemon.,3
Captain Drautos:(over radio)We can't take down that daemon. I'm ordering a full retreat. Get back here alive. That's an order. For hearth and home.,Captain Drautos, (over radio) We can't take down that daemon. I'm ordering a full retreat. Get back here alive. That's an order. For hearth and home.,23
"Glaive:(over radio)All units, fall back to the extraction point. Support is inbound.",Glaive," (over radio) All units, fall back to the extraction point. Support is inbound.",12
Luche:Nyx! We have to get out of here. Nyx! We have orders!,Luche, Nyx! We have to get out of here. Nyx! We have orders!,12
Girl's Voice:(memory)Help!,Girl's Voice, (memory) Help!,1
"Nyx:Oh, that idiot.",Nyx," Oh, that idiot.",3
"Pelna:Crowe, we gotta move.",Pelna," Crowe, we gotta move.",4
Libertus:You gotta be kidding me.,Libertus, You gotta be kidding me.,5
"Libertus:Whoa, whoa, whoa! You know I ain't got the stomach for this crap.",Libertus," Whoa, whoa, whoa! You know I ain't got the stomach for this crap.",13
"Captain Drautos:Luche, report.",Captain Drautos," Luche, report.",2
"Luche:The imperial forces look to be withdrawing, sir.",Luche," The imperial forces look to be withdrawing, sir.",8
