Original,Character,Dialogue,Wordcount
???:Prologue - Awake at Last,? ? ?,Prologue - Awake at Last,5
"???:Tick, tock, tick, tock...",? ? ?,"Tick, tock, tick, tock...",4
???:Time to wake up.,? ? ?,Time to wake up.,4
???:*Yawn* What a nap...,? ? ?,*Yawn* What a nap...,4
"???:Oh, right. I gotta get to work.",? ? ?,"Oh, right. I gotta get to work.",7
???:Am I gonna make it? The boss hates when I'm late.,? ? ?,Am I gonna make it? The boss hates when I'm late.,11
"???:Then again, it's not like business has picked up any.",? ? ?,"Then again, it's not like business has picked up any.",10
???:Maybe we should start selling sandwiches along with the coffee.,? ? ?,Maybe we should start selling sandwiches along with the coffee.,10
???:*Yawn*... The streets sure are quiet today.,? ? ?,*Yawn*... The streets sure are quiet today.,7
"???:Hey, I'm here!",? ? ?,"Hey, I'm here!",3
???:Huh? How'd she get in if no one's here yet?,? ? ?,Huh? How'd she get in if no one's here yet?,10
???:Good morning! I'm real sorry. I hope you haven't been waiting long.,? ? ?,Good morning! I'm real sorry. I hope you haven't been waiting long.,12
"???:Oh, right! She needs some water.",? ? ?,"Oh, right! She needs some water.",6
"??? (2):Oh, no thanks. A pint I mean, a cup of coffee, please.",? ? ?,"Oh, no thanks. A pint— I mean, a cup of coffee, please.",12
"???:Right, that's one cuppa joe. And I'll get you one of the big jars.",? ? ?,"Right, that's one cuppa joe. And I'll get you one of the big jars.",14
"???:Ugh. Has nobody made the coffee yet? Come on, get it together, guys.",? ? ?,"Ugh. Has nobody made the coffee yet? Come on, get it together, guys.",13
"???:I'm sorry, miss. This might take a while.",? ? ?,"I'm sorry, miss. This might take a while.",8
"??? (2):Hey, no hurry! Time's not an issue.",? ? ?,"Hey, no hurry! Time's not an issue.",7
???:Here you go.,? ? ?,Here you go.,3
??? (2):Thank you.,? ? ?,Thank you.,2
??? (3):There you are! Lann!,? ? ?,There you are! Lann!,4
"Lann:Keep it down, Reynn. How 'bout acting your age, huh?",Lann,"Keep it down, Reynn. How 'bout acting your age, huh?",10
"Reynn:Hey, don't talk down to me. Listen, last time I checked, little bro, I've been around a few minutes longer than you.",Reynn,"Hey, don't talk down to me. Listen, last time I checked, little bro, I've been around a few minutes longer than you.",22
