character,plot_unit_count,plot_unit_ids
AD,3,297;298;299
Aeris,205,62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;79;80;81;82;83;84;85;86;87;88;89;90;91;92;95;96;98;104;116;117;118;119;120;121;122;123;124;125;126;128;130;131;133;134;138;142;143;144;148;157;158;193;195;197;198;203;204;205;207;211;212;214;215;216;219;220;221;222;223;224;225;226;229;232;236;239;256;264;265;267;268;272;276;278;279;280;282;285;287;288;289;313;314;315;318;319;321;322;323;324;325;326;327;328;329;334;335;339;340;341;343;344;346;347;348;349;350;351;354;355;358;359;360;361;362;363;364;366;369;370;372;373;376;377;383;386;387;396;402;406;408;412;413;414;415;416;418;421;425;426;427;431;433;440;442;443;446;447;451;452;463;465;468;469;471;472;473;475;477;487;488;489;497;501;504;523;545;546;594;599;601;602;604;606;607;609;610;611;613;614;615;683;690;691;747;751;756;758
Barret,234,1;2;3;4;5;6;7;8;11;12;13;14;17;18;19;21;22;24;25;26;27;31;32;33;34;35;36;37;38;39;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;145;146;147;149;150;151;152;153;154;155;156;157;159;160;161;162;163;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;187;188;190;192;193;194;196;197;198;200;201;202;203;207;208;209;210;211;212;213;216;217;218;219;220;221;222;223;224;225;231;232;234;236;256;264;266;267;268;272;277;278;280;282;286;287;288;289;290;317;318;319;321;322;323;324;326;327;328;332;333;339;346;348;350;351;353;354;355;356;357;358;359;361;362;377;382;383;384;385;386;387;388;389;390;391;392;393;394;395;396;406;407;418;419;420;421;422;425;426;427;428;430;433;440;441;442;443;445;447;451;452;462;465;467;468;469;470;471;473;474;477;486;487;489;497;501;504;524;527;562;594;599;601;602;604;606;607;608;610;611;612;614;615;616;683;704;747;751;756;758
Biggs,13,1;3;7;11;12;13;14;16;20;40;49;144;145
Bouncer,4,103;104;556;557
Bugenhagen,25,420;422;423;424;425;426;427;428;429;432;433;434;435;436;437;438;439;440;441;723;727;730;731;734;735
Butch,2,658;667
Cait Sith,13,367;368;369;370;371;374;375;376;377;383;422;426;475
CaitSith,48,388;396;407;408;419;421;431;433;442;443;444;446;447;451;453;463;466;468;469;471;472;473;475;487;488;489;498;501;504;523;595;600;601;602;605;607;608;609;610;612;613;614;616;683;747;752;757;758
Cashier,2,562;563
Chekhov,8,511;512;513;514;516;517;521;522
Choco Bill,5,269;581;582;583;584
Choco Billy,12,269;270;271;586;587;588;589;590;591;592;593;594
ChocoBilly,2,588;589
Chocobo,2,581;582
Chole,5,269;271;584;585;586
Cid,73,407;408;448;449;450;451;453;454;455;456;457;458;459;460;461;463;464;465;466;467;468;470;471;472;473;474;476;477;483;486;487;488;489;490;491;493;496;497;498;499;500;504;506;523;559;576;595;600;601;602;604;605;607;608;611;612;613;615;616;630;684;711;715;748;749;750;752;753;754;755;757;759;772
Clerk,18,86;87;89;91;116;117;118;525;530;539;542;543;546;547;549;551;554;557
