Character,dialogue,narrative_type
Barret,C'mon newcomer. Follow me.,action
Biggs,Wow! You used to be in SOLDIER all right! ...Not everyday ya find one in a group like AVALANCHE.,narration
Jessie,SOLDIER? Aren't they the enemy? What's he doing with us in AVALANCHE?,dialogue
Biggs,"Hold it, Jessie. He WAS in SOLDIER. He quit them and now is one of us.",narration
Biggs,Didn't catch your name...,narration
On-screen,Please enter a name.,system
Cloud,...Cloud.,narration
Biggs,"Cloud, eh? I'm...",narration
Cloud,I don't care what your names are. Once this job's over...I'm outta here.,dialogue
Barret,The hell you all doin'!? I thought I told you never to move in a group! Our target's the North Mako Reactor. We'll meet on the bridge in front of it.,narration
Barret,"Ex-SOLDIER, huh? Don't trust ya!",narration
Barret,If you push the Directional button while pushing the  button to run. (earlier marked,action
Barret,Yo! This your first time in a reactor?,narration
Cloud,"No. After all, I did work for Shinra, y'know.",narration
Barret,The planet's full of Mako energy. People here use it every day. It's the life blood of this planet. But Shinra keeps suckin' the blood out with these weird machines.,narration
Cloud,I'm not here for a lecture. Let's just hurry.,narration
Barret,That's it! You're comin' with me from now on.,narration
Biggs,Code deciphered,narration
Biggs,"Think how many of our people risked their lives, just for this code...",narration
Jessie,Biggs and I got the code for this door.,action
Jessie,Code deciphered,narration
Jessie,Push that button over there!,action
On-screen,Switch On.,system
Barret,Little by little the reactors'll drain out all the life. And that'll be that.,narration
Cloud,It's not my problem.,narration
Barret,"The planet's dyin', Cloud!",narration
Cloud,The only thing I care about is finishin' this job before security and the Roboguards come.,narration
Jessie,"Push the  button in front of a ladder to grab on to it. After that, use the  to move up and down.",action
Barret,"When we blow this place, this ain't gonna be nothin' more than a hunka junk. Cloud, you set the bomb.",action
Cloud,Shouldn't you do it?,narration
Barret,Jus' do it! I gotta watch to make sure you don't pull nothin'.,action
Cloud,"Fine, be my guest.",narration
On-screen,Watch out! This isn't just a reactor!!,system
Barret,......What's wrong?,dialogue
Cloud,Huh?,narration
Barret,"What's wrong, Cloud? Hurry it up!",dialogue
Cloud,"...Yeah, sorry.",narration
Barret,"Heads up, here they come!",narration
Cloud,"Barret, be careful!",narration
Cloud,It's gonna fire that laser...,action
Cloud,Attack while it's tail's up! It's gonna counterattack with its laser.,action
Barret,"I dunno what's goin' on, but... it looks pretty bad. Let's see what it does when it's tail's up...",action
Cloud,"Come on, let's get outta here!",narration
On-screen,Ten minutes to detonation!,system
Cloud,The alarm!,narration
Cloud,You all right?,narration
Jessie,My leg got stuck.,action
Jessie,Thanks!,narration
Jessie,Code deciphered,narration
Jessie,"Alright, be careful.",narration
Biggs,Jessie still hasn't come up yet!,narration
Biggs,Code deciphered,narration
Biggs,Let's go!,action
Biggs,That should keep the planet going... at least a little longer.,action
Wedge,Yeah.,narration
Barret,.........,narration
Jessie,OK! Now everyone get back.,narration
Barret,"All right, now let's get out of here.",narration
Barret,Rendezvous at Sector 8 station! Split up and get on the train!,narration
Cloud,"H, hey!",narration
Barret,If it's about your money Save it 'til we're back at the hideout.,narration
Flower girl,Excuse me. What happened?,dialogue
Flower girl,"Really? I don't know what's going on, but all right.",action
Cloud,............,narration
Flower girl,"Oh, these? Do you like them? They're only a gil...?",narration
Flower girl,"What! Tell me! Uh,excuse me,would you like to buy some flowers? They're only one gil.",dialogue
Flower girl,"Oh, thank you! Here you are!",narration
Flower girl,Ahh...not again.,narration
NPC,Just what the hell's going on!?,action
NPC,Wonder what that is on the wall over there. Let's see...Don't be fooled by Shinra! Mako energy doesn't last forever! Mako is the planet's lifesource! The end is in sight! Protectors of the planet AVALANCHE,dialogue
Soldier,Hey! You there!!,narration
Cloud,Shinra Soldiers......,narration
Soldier,What the?,dialogue
Cloud,hmph!,narration
Soldier,Halt!!,narration
Soldier,That's him!!Cloud hmph!,narration
Soldier,Over here!!,narration
Cloud,hmph!,narration
Soldier,That's as far as you go.,action
Cloud,I don't have time to be messin' around with you guys.,narration
Soldier,Enough babbling...... Grab him!!,narration
Cloud,What a pain......,dialogue
Wedge,Cloud never came.,narration
Biggs,Cloud...... Wonder if he was killed?,narration
Barret,No way!!,narration
Jessie,Cloud......,narration
Biggs,"Say, do you think Cloud's...... Going to fight to the end for AVALANCHE!?",action
Barret,The hell would I know!? Do I look like a mind reader? Hmph!! If y'all weren't such screw-ups...,narration
Wedge,"Hey, Barret! What about our money...? Uh, nothin'...sorry. Ahhh......",dialogue
Wedge,Cloud!!,narration
