Character,clean_dialogue,narrative_type,plot_unit_id
Barret,C'mon newcomer. Follow me.,action,1
Biggs,Wow! You used to be in SOLDIER all right! ...Not everyday ya find one in a group like AVALANCHE.,narration,1
Jessie,SOLDIER? Aren't they the enemy? What's he doing with us in AVALANCHE?,dialogue,1
Biggs,"Hold it, Jessie. He WAS in SOLDIER. He quit them and now is one of us.",narration,1
Biggs,Didn't catch your name...,narration,1
On-screen,Please enter a name.,system,1
Cloud,...Cloud.,narration,1
Biggs,"Cloud, eh? I'm...",narration,1
Cloud,I don't care what your names are. Once this job's over...I'm outta here.,dialogue,2
Barret,The hell you all doin'!? I thought I told you never to move in a group! Our target's the North Mako Reactor. We'll meet on the bridge in front of it.,narration,2
Barret,"Ex-SOLDIER, huh? Don't trust ya!",narration,2
Barret,If you push the Directional button while pushing the  button to run. (earlier marked,action,2
Barret,Yo! This your first time in a reactor?,narration,2
Cloud,"No. After all, I did work for Shinra, y'know.",narration,2
Barret,The planet's full of Mako energy. People here use it every day. It's the life blood of this planet. But Shinra keeps suckin' the blood out with these weird machines.,narration,2
Cloud,I'm not here for a lecture. Let's just hurry.,narration,2
Barret,That's it! You're comin' with me from now on.,narration,3
Biggs,Code deciphered,narration,3
Biggs,"Think how many of our people risked their lives, just for this code...",narration,3
Jessie,Biggs and I got the code for this door.,action,3
Jessie,Code deciphered,narration,3
Jessie,Push that button over there!,action,3
On-screen,Switch On.,system,3
Barret,Little by little the reactors'll drain out all the life. And that'll be that.,narration,3
Cloud,It's not my problem.,narration,4
Barret,"The planet's dyin', Cloud!",narration,4
Cloud,The only thing I care about is finishin' this job before security and the Roboguards come.,narration,4
Jessie,"Push the  button in front of a ladder to grab on to it. After that, use the  to move up and down.",action,4
Barret,"When we blow this place, this ain't gonna be nothin' more than a hunka junk. Cloud, you set the bomb.",action,4
Cloud,Shouldn't you do it?,narration,4
Barret,Jus' do it! I gotta watch to make sure you don't pull nothin'.,action,4
Cloud,"Fine, be my guest.",narration,4
On-screen,Watch out! This isn't just a reactor!!,system,5
Barret,......What's wrong?,dialogue,5
Cloud,Huh?,narration,5
Barret,"What's wrong, Cloud? Hurry it up!",dialogue,5
Cloud,"...Yeah, sorry.",narration,5
Barret,"Heads up, here they come!",narration,5
Cloud,"Barret, be careful!",narration,5
Cloud,It's gonna fire that laser...,action,5
Cloud,Attack while it's tail's up! It's gonna counterattack with its laser.,action,6
Barret,"I dunno what's goin' on, but... it looks pretty bad. Let's see what it does when it's tail's up...",action,6
Cloud,"Come on, let's get outta here!",narration,6
On-screen,Ten minutes to detonation!,system,6
Cloud,The alarm!,narration,6
Cloud,You all right?,narration,6
Jessie,My leg got stuck.,action,6
Jessie,Thanks!,narration,6
Jessie,Code deciphered,narration,7
Jessie,"Alright, be careful.",narration,7
Biggs,Jessie still hasn't come up yet!,narration,7
Biggs,Code deciphered,narration,7
Biggs,Let's go!,action,7
Biggs,That should keep the planet going... at least a little longer.,action,7
Wedge,Yeah.,narration,7
Barret,.........,narration,7
Jessie,OK! Now everyone get back.,narration,8
Barret,"All right, now let's get out of here.",narration,8
Barret,Rendezvous at Sector 8 station! Split up and get on the train!,narration,8
Cloud,"H, hey!",narration,8
Barret,If it's about your money Save it 'til we're back at the hideout.,narration,8
Flower girl,Excuse me. What happened?,dialogue,8
Flower girl,"Really? I don't know what's going on, but all right.",action,8
Cloud,............,narration,8
Flower girl,"Oh, these? Do you like them? They're only a gil...?",narration,9
Flower girl,"What! Tell me! Uh,excuse me,would you like to buy some flowers? They're only one gil.",dialogue,9
Flower girl,"Oh, thank you! Here you are!",narration,9
Flower girl,Ahh...not again.,narration,9
NPC,Just what the hell's going on!?,action,9
NPC,Wonder what that is on the wall over there. Let's see...Don't be fooled by Shinra! Mako energy doesn't last forever! Mako is the planet's lifesource! The end is in sight! Protectors of the planet AVALANCHE,dialogue,9
Soldier,Hey! You there!!,narration,9
Cloud,Shinra Soldiers......,narration,9
Soldier,What the?,dialogue,10
Cloud,hmph!,narration,10
Soldier,Halt!!,narration,10
Soldier,That's him!!Cloud hmph!,narration,10
Soldier,Over here!!,narration,10
Cloud,hmph!,narration,10
Soldier,That's as far as you go.,action,10
Cloud,I don't have time to be messin' around with you guys.,narration,10
Soldier,Enough babbling...... Grab him!!,narration,11
Cloud,What a pain......,dialogue,11
Wedge,Cloud never came.,narration,11
Biggs,Cloud...... Wonder if he was killed?,narration,11
Barret,No way!!,narration,11
Jessie,Cloud......,narration,11
Biggs,"Say, do you think Cloud's...... Going to fight to the end for AVALANCHE!?",action,11
Barret,The hell would I know!? Do I look like a mind reader? Hmph!! If y'all weren't such screw-ups...,narration,11
Wedge,"Hey, Barret! What about our money...? Uh, nothin'...sorry. Ahhh......",dialogue,12
Wedge,Cloud!!,narration,12
Biggs,Cloud!!,narration,12
Jessie,Cloud......,narration,12
Cloud,Looks like I'm a little late.,narration,12
Barret,"You damn right, you're late!! Come waltzin' in here makin' a big scene!",narration,12
Cloud,It's no big deal. Just what I always do.,dialogue,12
Barret,Shi't! Havin' everyone worried like that you don't give a damn 'bout no one but yourself!,narration,12
Cloud,Hmm...... You were worried about me!,narration,13
Barret,"Wha!? I'm takin' it outta your money, hot stuff!",narration,13
Barret,Wake up! We're movin' out! Follow me!,action,13
Wedge,"Hey, Cloud!! You were great back there!",narration,13
Biggs,Heh heh......Cloud! We'll do even better next time.,narration,13
Jessie,"Be careful, I'll shut this.",narration,13
Jessie,"Oh, Cloud!! Your face is pitch-black......",narration,13
Jessie,There you go!,action,13
Jessie,"Say, thanks for helping me back there at the Reactor!",dialogue,14
On-screen,"Last train out of Sector 8 Station. Last stop is Sector 7, Train Graveyard. Expected time of arrival is 1223AM, Midgar Standard Time...",system,14
NPC,This is why I hate the last train. Hoo-boy...,dialogue,14
NPC,"Huh...? This is my house, so make yourselves at home.",narration,14
NPC,You see the headlines in the Shinra Times? The terrorists that bombed the No. 1 Reactor are based somewhere in the slums. ...blowing up a Reactor... they sure put some thought into this one. They must have a real calculating leader. I wonder what they'll do next?,dialogue,14
Barret,Stop actin' like a damn kid. Si'down an' shu'up!,narration,14
Biggs,It seems this train hasn't switched to security mode yet. I'm sure that will change by tomorrow.,narration,14
Biggs,...YAWN...that sure took its toll on me. I'm gonna sleep till we get to the station.,action,14
Wedge,"Someday AVALANCHE's gonna be famous ...and me, too!",action,15
Wedge,Cloud!! Don't ya think I got a bright future ahead of me?,action,15
Wedge,"All my life, I felt like nothin' but a sidekick. But, after joinin' AVALANCHE and tryin' to save the Planet, I feel like I can do lots of things.",narration,15
Wedge,"Oh man, that's pretty harsh, Cloud. You really think I won't?",narration,15
NPC,Please!! You're bothering the other passengers.,narration,15
Jessie,"Hey, Cloud. You want to look at this with me? It's a map of the Midgar Rail System. Let's look at it together. I'll explain it to you.",narration,15
Jessie,"I like this kinda stuff. Bombs and monitors...you know, flashy stuff.",narration,15
Jessie,"Okay, it's about to start.",narration,15
Jessie,"This is a complete model of the city of Midgar. It's about a 1/10000 scale. The top plate is about 50 meters above ground. A main support structure holds the plate up in the center, and there are other support structures built in each section... psst...whisper...whisper...  Then there's No.2, No.3 all the way up to the No.8 Reactor. The 8 Reactors provide Midgar with electricity. Each town used to have a name, but no one in Midgar remembers them. Instead of names, we refer to them by numbered sectors. That's the kind of place this is.",action,16
Jessie,"Phew..., this is next! Look.",narration,16
Jessie,"This is the route this train is on. The route spirals around the main support structure. We should be coming around the center area, right now. At each checkpoint, an ID sensor device is set up. It can check the identities and background on each and every passenger on the train by linking it up to the central data bank at Shinra headquarters. whisper...whisper...",action,16
Jessie,"Speak of the devil... That light means that we're in the ID Security Check area. ...whisper...whisper...  ...anyhow, we're almost back now. That's a relief.",narration,16
Biggs,...snore...heebeebeeheebee...snore...,narration,16
Wedge,I'm seein' stars. This sucks. I hate the dark.,narration,16
Jessie,"I know! Next time, I'll give you one I made myself.",narration,16
Jessie,"Oh yeah, you might regret it. I'm the type who takes things personal.",narration,16
Jessie,"Okay, then I'll put a little extra effort in and make it with a BANG.",narration,17
Jessie,"We're almost there. After talking with you, I really want to do it! I think you've lit my fuse!",narration,17
Barret,Look...you can see the surface now. This city don't have no day or night. If that plate weren't there... we could see the sky.,narration,17
Cloud,A floating city... Pretty unsettling scenery.,narration,17
Barret,Huh? Never expect ta hear that outta someone like you. ...you jes' full of surprises.,narration,17
Barret,"The upper world...a city on a plate... It's 'cuz of that &^#$# 'pizza', that people underneath are sufferin'! And the city below is full of polluted air. On topa that, the Reactor keeps drainin' up all the energy.",narration,17
Cloud,Then why doesn't everyone move onto the Plate?,dialogue,17
Barret,"Dunno. Probably 'cuz they ain't got no money. Or, maybe... 'Cuz they love their land, no matter how polluted it gets.",action,17
Cloud,I know... no one lives in the slums because they want to. It's like this train. It can't run anywhere except where its rails take it.,action,18
Barret,"Yo!! Get over here, all'ya!!",narration,18
Barret,"Yo, Cloud! You lissen up!",narration,18
Barret,This mission was a success. But don't get lazy now. The hard part's still to come! Don't y'all be scared of that explosion! Cause the next one's gonna be bigger than that! Meet back at the hideout!! Move out!,action,18
Barret,Ok! Go on ahead.,action,18
Barret,You! Cloud!! Get off your slow-movin' ass!!,narration,18
Barret,Heh heh... You wanna meet your little baby?,narration,18
Barret,Hey! Don' act like you don't know what I mean! I'm tellin' you...,dialogue,18
Barret,Heh! Jes calm down. Can't have people suspectin' us.,narration,19
Marlene,Papa!!,narration,19
Tifa,"Marlene! Aren't you going to say anything to Cloud? Welcome home, Cloud. Looks like everything went well. Did you fight with Barret?",action,19
Tifa,"I should have known. He's always pushing people around, and you've always been in fights ever since you were little. I was worried.",action,19
