sample_id,plot_text,is_consistent
1,"C'mon newcomer. Follow me.
Wow! You used to be in SOLDIER all right! ...Not everyday ya find one in a group like AVALANCHE.
SOLDIER? Aren't they the enemy? What's he doing with us in AVALANCHE?
Hold it, Jessie. He WAS in SOLDIER. He quit them and now is one of us.
Didn't catch your name...
Please enter a name.
...Cloud.
Cloud, eh? I'm...",1
2,"C'mon newcomer. Follow me.
Wow! You used to be in SOLDIER all right! ...Not everyday ya find one in a group like AVALANCHE.
SOLDIER? Aren't they the enemy? What's he doing with us in AVALANCHE?
Hold it, Jessie. He WAS in SOLDIER. He quit them and now is one of us.
Didn't catch your name...
Please enter a name.
...Cloud.
Cloud, eh? I'm...
---
I don't care what your names are. Once this job's over...I'm outta here.
The hell you all doin'!? I thought I told you never to move in a group! Our target's the North Mako Reactor. We'll meet on the bridge in front of it.
Ex-SOLDIER, huh? Don't trust ya!
If you push the Directional button while pushing the  button to run. (earlier marked
Yo! This your first time in a reactor?
No. After all, I did work for Shinra, y'know.
The planet's full of Mako energy. People here use it every day. It's the life blood of this planet. But Shinra keeps suckin' the blood out with these weird machines.
I'm not here for a lecture. Let's just hurry.",0
3,"I don't care what your names are. Once this job's over...I'm outta here.
The hell you all doin'!? I thought I told you never to move in a group! Our target's the North Mako Reactor. We'll meet on the bridge in front of it.
Ex-SOLDIER, huh? Don't trust ya!
If you push the Directional button while pushing the  button to run. (earlier marked
Yo! This your first time in a reactor?
No. After all, I did work for Shinra, y'know.
The planet's full of Mako energy. People here use it every day. It's the life blood of this planet. But Shinra keeps suckin' the blood out with these weird machines.
I'm not here for a lecture. Let's just hurry.",1
4,"I don't care what your names are. Once this job's over...I'm outta here.
The hell you all doin'!? I thought I told you never to move in a group! Our target's the North Mako Reactor. We'll meet on the bridge in front of it.
Ex-SOLDIER, huh? Don't trust ya!
If you push the Directional button while pushing the  button to run. (earlier marked
Yo! This your first time in a reactor?
No. After all, I did work for Shinra, y'know.
The planet's full of Mako energy. People here use it every day. It's the life blood of this planet. But Shinra keeps suckin' the blood out with these weird machines.
I'm not here for a lecture. Let's just hurry.
---
That's it! You're comin' with me from now on.
Code deciphered
Think how many of our people risked their lives, just for this code...
Biggs and I got the code for this door.
Code deciphered
Push that button over there!
Switch On.
Little by little the reactors'll drain out all the life. And that'll be that.",0
5,"That's it! You're comin' with me from now on.
Code deciphered
Think how many of our people risked their lives, just for this code...
Biggs and I got the code for this door.
Code deciphered
Push that button over there!
Switch On.
Little by little the reactors'll drain out all the life. And that'll be that.",1
6,"That's it! You're comin' with me from now on.
Code deciphered
Think how many of our people risked their lives, just for this code...
Biggs and I got the code for this door.
Code deciphered
Push that button over there!
Switch On.
Little by little the reactors'll drain out all the life. And that'll be that.
---
It's not my problem.
The planet's dyin', Cloud!
The only thing I care about is finishin' this job before security and the Roboguards come.
Push the  button in front of a ladder to grab on to it. After that, use the  to move up and down.
When we blow this place, this ain't gonna be nothin' more than a hunka junk. Cloud, you set the bomb.
Shouldn't you do it?
Jus' do it! I gotta watch to make sure you don't pull nothin'.
Fine, be my guest.",0
7,"It's not my problem.
The planet's dyin', Cloud!
The only thing I care about is finishin' this job before security and the Roboguards come.
Push the  button in front of a ladder to grab on to it. After that, use the  to move up and down.
When we blow this place, this ain't gonna be nothin' more than a hunka junk. Cloud, you set the bomb.
Shouldn't you do it?
Jus' do it! I gotta watch to make sure you don't pull nothin'.
Fine, be my guest.",1
8,"It's not my problem.
The planet's dyin', Cloud!
The only thing I care about is finishin' this job before security and the Roboguards come.
Push the  button in front of a ladder to grab on to it. After that, use the  to move up and down.
When we blow this place, this ain't gonna be nothin' more than a hunka junk. Cloud, you set the bomb.
Shouldn't you do it?
Jus' do it! I gotta watch to make sure you don't pull nothin'.
Fine, be my guest.
---
Watch out! This isn't just a reactor!!
......What's wrong?
Huh?
What's wrong, Cloud? Hurry it up!
...Yeah, sorry.
Heads up, here they come!
Barret, be careful!
It's gonna fire that laser...",0
9,"Watch out! This isn't just a reactor!!
......What's wrong?
Huh?
What's wrong, Cloud? Hurry it up!
...Yeah, sorry.
Heads up, here they come!
Barret, be careful!
It's gonna fire that laser...",1
10,"Watch out! This isn't just a reactor!!
......What's wrong?
Huh?
What's wrong, Cloud? Hurry it up!
...Yeah, sorry.
Heads up, here they come!
Barret, be careful!
It's gonna fire that laser...
---
Attack while it's tail's up! It's gonna counterattack with its laser.
I dunno what's goin' on, but... it looks pretty bad. Let's see what it does when it's tail's up...
Come on, let's get outta here!
Ten minutes to detonation!
The alarm!
You all right?
My leg got stuck.
Thanks!",0
