plot_unit_id,character_list,dialogue_count,narrative_types,full_plot_text
1,"Barret, Biggs, Jessie, On-screen, Cloud",8,"action, narration, dialogue, system","C'mon newcomer. Follow me.
Wow! You used to be in SOLDIER all right! ...Not everyday ya find one in a group like AVALANCHE.
SOLDIER? Aren't they the enemy? What's he doing with us in AVALANCHE?
Hold it, Jessie. He WAS in SOLDIER. He quit them and now is one of us.
Didn't catch your name...
Please enter a name.
...Cloud.
Cloud, eh? I'm..."
2,"Cloud, Barret",8,"dialogue, narration, action","I don't care what your names are. Once this job's over...I'm outta here.
The hell you all doin'!? I thought I told you never to move in a group! Our target's the North Mako Reactor. We'll meet on the bridge in front of it.
Ex-SOLDIER, huh? Don't trust ya!
If you push the Directional button while pushing the  button to run. (earlier marked
Yo! This your first time in a reactor?
No. After all, I did work for Shinra, y'know.
The planet's full of Mako energy. People here use it every day. It's the life blood of this planet. But Shinra keeps suckin' the blood out with these weird machines.
I'm not here for a lecture. Let's just hurry."
3,"Barret, Biggs, Jessie, On-screen",8,"narration, action, system","That's it! You're comin' with me from now on.
Code deciphered
Think how many of our people risked their lives, just for this code...
Biggs and I got the code for this door.
Code deciphered
Push that button over there!
Switch On.
Little by little the reactors'll drain out all the life. And that'll be that."
4,"Cloud, Barret, Jessie",8,"narration, action","It's not my problem.
The planet's dyin', Cloud!
The only thing I care about is finishin' this job before security and the Roboguards come.
Push the  button in front of a ladder to grab on to it. After that, use the  to move up and down.
When we blow this place, this ain't gonna be nothin' more than a hunka junk. Cloud, you set the bomb.
Shouldn't you do it?
Jus' do it! I gotta watch to make sure you don't pull nothin'.
Fine, be my guest."
5,"On-screen, Barret, Cloud",8,"system, dialogue, narration, action","Watch out! This isn't just a reactor!!
......What's wrong?
Huh?
What's wrong, Cloud? Hurry it up!
...Yeah, sorry.
Heads up, here they come!
Barret, be careful!
It's gonna fire that laser..."
6,"Cloud, Barret, On-screen, Jessie",8,"action, narration, system","Attack while it's tail's up! It's gonna counterattack with its laser.
I dunno what's goin' on, but... it looks pretty bad. Let's see what it does when it's tail's up...
Come on, let's get outta here!
Ten minutes to detonation!
The alarm!
You all right?
My leg got stuck.
Thanks!"
7,"Jessie, Biggs, Wedge, Barret",8,"narration, action","Code deciphered
Alright, be careful.
Jessie still hasn't come up yet!
Code deciphered
Let's go!
That should keep the planet going... at least a little longer.
Yeah.
........."
8,"Jessie, Barret, Cloud, Flower girl",8,"narration, dialogue, action","OK! Now everyone get back.
All right, now let's get out of here.
Rendezvous at Sector 8 station! Split up and get on the train!
H, hey!
If it's about your money Save it 'til we're back at the hideout.
Excuse me. What happened?
Really? I don't know what's going on, but all right.
............"
9,"Flower girl, NPC, Soldier, Cloud",8,"narration, dialogue, action","Oh, these? Do you like them? They're only a gil...?
What! Tell me! Uh,excuse me,would you like to buy some flowers? They're only one gil.
Oh, thank you! Here you are!
Ahh...not again.
Just what the hell's going on!?
Wonder what that is on the wall over there. Let's see...Don't be fooled by Shinra! Mako energy doesn't last forever! Mako is the planet's lifesource! The end is in sight! Protectors of the planet AVALANCHE
Hey! You there!!
Shinra Soldiers......"
10,"Soldier, Cloud",8,"dialogue, narration, action","What the?
hmph!
Halt!!
That's him!!Cloud hmph!
Over here!!
hmph!
That's as far as you go.
I don't have time to be messin' around with you guys."
11,"Soldier, Cloud, Wedge, Biggs, Barret, Jessie",8,"narration, dialogue, action","Enough babbling...... Grab him!!
What a pain......
Cloud never came.
Cloud...... Wonder if he was killed?
No way!!
Cloud......
Say, do you think Cloud's...... Going to fight to the end for AVALANCHE!?
The hell would I know!? Do I look like a mind reader? Hmph!! If y'all weren't such screw-ups..."
12,"Wedge, Biggs, Jessie, Cloud, Barret",8,"dialogue, narration","Hey, Barret! What about our money...? Uh, nothin'...sorry. Ahhh......
Cloud!!
Cloud!!
Cloud......
Looks like I'm a little late.
You damn right, you're late!! Come waltzin' in here makin' a big scene!
It's no big deal. Just what I always do.
Shi't! Havin' everyone worried like that you don't give a damn 'bout no one but yourself!"
13,"Cloud, Barret, Wedge, Biggs, Jessie",8,"narration, action","Hmm...... You were worried about me!
Wha!? I'm takin' it outta your money, hot stuff!
Wake up! We're movin' out! Follow me!
Hey, Cloud!! You were great back there!
Heh heh......Cloud! We'll do even better next time.
Be careful, I'll shut this.
Oh, Cloud!! Your face is pitch-black......
There you go!"
14,"Jessie, On-screen, NPC, Barret, Biggs",8,"dialogue, system, narration, action","Say, thanks for helping me back there at the Reactor!
Last train out of Sector 8 Station. Last stop is Sector 7, Train Graveyard. Expected time of arrival is 1223AM, Midgar Standard Time...
This is why I hate the last train. Hoo-boy...
Huh...? This is my house, so make yourselves at home.
You see the headlines in the Shinra Times? The terrorists that bombed the No. 1 Reactor are based somewhere in the slums. ...blowing up a Reactor... they sure put some thought into this one. They must have a real calculating leader. I wonder what they'll do next?
Stop actin' like a damn kid. Si'down an' shu'up!
It seems this train hasn't switched to security mode yet. I'm sure that will change by tomorrow.
...YAWN...that sure took its toll on me. I'm gonna sleep till we get to the station."
15,"Wedge, NPC, Jessie",8,"action, narration","Someday AVALANCHE's gonna be famous ...and me, too!
Cloud!! Don't ya think I got a bright future ahead of me?
All my life, I felt like nothin' but a sidekick. But, after joinin' AVALANCHE and tryin' to save the Planet, I feel like I can do lots of things.
Oh man, that's pretty harsh, Cloud. You really think I won't?
Please!! You're bothering the other passengers.
Hey, Cloud. You want to look at this with me? It's a map of the Midgar Rail System. Let's look at it together. I'll explain it to you.
I like this kinda stuff. Bombs and monitors...you know, flashy stuff.
Okay, it's about to start."
